"Kernel Name","traffic","dpAI","spAI","dpPerf","spPerf","xtime","Block Size","Grid Size","device","intops","intPerf","intAI","targetName","exeArgs","kernelName"
"haccmk_kernel(int, int, const float *, const float *, const float *, const float *, float *, float *, float *, float, float, float)",71855774.89,0.0,1860.4202308560336,0.0,133681937309.193,2990880.0,"(256, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",105854832.0,35392537313.43284,492.54965752736365,"haccmk-cuda","1000","haccmk_kernel"
"haccmk_kernel(int, int, const float *, const float *, const float *, const float *, float *, float *, float *, float, float, float)",71564620.03,0.0,1868.4062554720715,0.0,133711783734.5339,2990528.0,"(256, 1, 1)","(4, 1, 1)","NVIDIA GeForce RTX 3080",105854832.0,35396703190.87466,494.6117673235225,"haccmk-cuda","1000","haccmk_kernel"
"__omp_offloading_10309_2fc5ad7__Z11PushSpeciesP7SpeciesP8ParticlePd_l452",384657796700.37,0.5404170306897481,0.043219960916911035,207875624324.47473,16624894939.7751,60128.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008542.0,399290546833.422,1.0380409555157157,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z11PushSpeciesP7SpeciesP8ParticlePd_l452"
"__omp_offloading_10309_2fc5ad7__Z11PushSpeciesP7SpeciesP8ParticlePd_l452",383779075942.64,0.5405161824089304,0.04323083250706018,207438801016.94278,16591088951.7906,60256.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008542.0,398442345990.4408,1.038207580785338,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z11PushSpeciesP7SpeciesP8ParticlePd_l452"
"__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l277",1802816901.41,0.0,0.0,0.0,0.0,2272.0,"(256, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",5106.0,2247359154.9295774,1.2465820312489286,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l277"
"__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l277",1408450704.23,0.0,0.0,0.0,0.0,2272.0,"(256, 1, 1)","(1, 1, 1)","NVIDIA GeForce RTX 3080",5106.0,2247359154.9295774,1.5956249999947343,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l277"
"__omp_offloading_10309_2fc5ad7__Z13RewindSpeciesP7SpeciesP8ParticlePd_l486",458301061836.35,0.48980326380493816,0.042580729880811706,224477355892.713,19514793718.1428,51232.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008541.0,468623926452.21735,1.0225241996483818,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z13RewindSpeciesP7SpeciesP8ParticlePd_l486"
"__omp_offloading_10309_2fc5ad7__Z13RewindSpeciesP7SpeciesP8ParticlePd_l486",453416927899.69,0.49692833111471735,0.04320141255872616,225315717280.35507,19588251763.3047,51040.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008541.0,470386775078.3699,1.0374265849695716,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z13RewindSpeciesP7SpeciesP8ParticlePd_l486"
"__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l287",8413491325.9,0.5736669063004591,0.10766768915903044,4826541540.1148,905861168.8192,1652736.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008541.0,14526543259.177507,1.7265773145161696,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l287"
"__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l287",18671120464.95,0.25835682624913736,0.04816822184305951,4823811425.8398,899354672.6142,1657312.0,"(256, 1, 1)","(1954, 1, 1)","NVIDIA GeForce RTX 3080",24008541.0,14486434057.075552,0.7758738466858446,"sheath-omp","","__omp_offloading_10309_2fc5ad7__Z14ScatterSpeciesP7SpeciesP8ParticlePfRd_l287"
